q_id,q_sn,q_txt,type,opt_txt,opt_value,escape,target_former,target,annotate,note,range_min,range_max,escaped_code,special_code,disjoint
1,1,姓名：,3,,,0,,,,0,,,,"[不知道:97,拒答:98]",
2,1,年齡：,0,(01)19歲以下,1,0,,,,0,,,,"[不知道:97,拒答:98]",
2,1,年齡：,0,(02)20-39歲,2,0,,,,0,,,,"[不知道:97,拒答:98]",
2,1,年齡：,0,(03)40-59歲,3,0,,,,0,,,,"[不知道:97,拒答:98]",
2,1,年齡：,0,(04)60歲以上,4,0,,,,0,,,,"[不知道:97,拒答:98]",
3,1,教育程度：,0,(01)國中以下,1,0,,,,0,,,,"[不知道:97,拒答:98]",
3,1,教育程度：,0,(02)高中(職),2,0,,,,0,,,,"[不知道:97,拒答:98]",
3,1,教育程度：,0,(03)大學/專科,3,0,,,,0,,,,"[不知道:97,拒答:98]",
3,1,教育程度：,0,(04)研究所,4,0,,,,0,,,,"[不知道:97,拒答:98]",
4,1,包含您自己，現在家中同住者共有幾位？,0,(01)自己一人居住,1,0,,,不論是否有親屬關係，住一起的都算。因讀書、當兵或工作等「暫時」不同住的家人也算,0,,,,"[不知道:97,拒答:98]",
4,1,包含您自己，現在家中同住者共有幾位？,0,(02)有同住家人，請說明人數 (包含自己在內),1,0,,,不論是否有親屬關係，住一起的都算。因讀書、當兵或工作等「暫時」不同住的家人也算,1,,,,"[不知道:97,拒答:98]",
5,1,請問您家中是否有養寵物？請問幾隻？,1,(01)沒有,1,0,,,,0,,,,"[不知道:97,拒答:98]",1
5,1,請問您家中是否有養寵物？請問幾隻？,1,(02)狗，請說明幾隻,2,0,,,,1,,,,"[不知道:97,拒答:98]",0
5,1,請問您家中是否有養寵物？請問幾隻？,1,(03)貓，請說明幾隻,3,0,,,,1,,,,"[不知道:97,拒答:98]",0
5,1,請問您家中是否有養寵物？請問幾隻？,1,(04)鳥，請說明幾隻,4,0,,,,1,,,,"[不知道:97,拒答:98]",0
5,1,請問您家中是否有養寵物？請問幾隻？,1,(05)魚，請說明幾隻,5,0,,,,1,,,,"[不知道:97,拒答:98]",0
5,1,請問您家中是否有養寵物？請問幾隻？,1,(06)其他，請說明種類及隻數,6,0,,,,1,,,,"[不知道:97,拒答:98]",0
