q_id,q_sn,q_txt,type,opt_txt,opt_value,escape,target_former,target,annotate,note,range_min,range_max,escaped_code,special_code,disjoint
1,1,姓名：,3,,,0,,,,0,,,,"[不知道:97,拒答:98]",
2,1,性別：,0,(01)男性,1,0,,,,0,,,,"[不知道:97,拒答:98]",
2,1,性別：,0,(02)女性,2,0,,,,0,,,,"[不知道:97,拒答:98]",
3,1,請問您是哪一年出生的 (以身分證上為主)？請輸入民國年,2,,,0,,,,0,-20,88,,"[不知道:97,拒答:98]",
3,2,請問您是幾月出生的 (以身分證上為主)？,2,,,0,,,月份合理數值為 1 至 12 月,0,1,12,,"[不知道:97,拒答:98]",
4,1,請問您目前的婚姻狀況是：,0,(01)單身且從未結婚,1,1,,"[5,1]",,0,,,,"[不知道:97,拒答:98]",
4,1,請問您目前的婚姻狀況是：,0,(02)已婚,2,0,,,,0,,,,"[不知道:97,拒答:98]",
4,1,請問您目前的婚姻狀況是：,0,(03)離婚,3,0,,,,0,,,,"[不知道:97,拒答:98]",
4,1,請問您目前的婚姻狀況是：,0,(04)配偶去世,4,0,,,,0,,,,"[不知道:97,拒答:98]",
4,1,請問您目前的婚姻狀況是：,0,(05)同居,5,0,,,,0,,,,"[不知道:97,拒答:98]",
4,1,請問您目前的婚姻狀況是：,0,(06)其他，請說明,6,0,,,,1,,,,"[不知道:97,拒答:98]",
4,2,請問您是什麼時候結婚的？請輸入民國年,2,,,2,"[[4,1],[2,3,4,5]]",,以目前最近的一段婚姻作答,0,-20,110,96,"[不適用:96,不知道:97,拒答:98]",
5,1,請問您現在 (退休前) 的工作內容是：,3,,,0,,,,0,,,,"[不知道:97,拒答:98]",
5,2,請問您現在 (退休前) 的部門與職位是：,3,,,0,,,,0,,,,"[不知道:97,拒答:98]",
