q_id,q_sn,q_txt,type,opt_txt,opt_value,annotate,note,disjoint,range_min,range_max,skip,attach
1,1,請填寫您的姓名：,3,,,,,,,,,
2,1,請問您的年齡是：,2,,,請用 110 減去出生民國年份,,,0,100,,
3,1,您平時喜歡吃的水果有哪些：,1,香蕉,1,,0,0,,,0,
3,1,您平時喜歡吃的水果有哪些：,1,西瓜,2,,0,0,,,0,
3,1,您平時喜歡吃的水果有哪些：,1,蘋果,3,,0,0,,,0,
3,1,您平時喜歡吃的水果有哪些：,1,其他,4,,1,0,,,0,
3,1,您平時喜歡吃的水果有哪些：,1,不喜歡吃水果,0,,0,1,,,[4-1],
4,1,您通常食用水果的頻率是：,0,每天一次,1,,0,,,,0,
4,1,您通常食用水果的頻率是：,0,每週一次,2,,0,,,,0,
4,1,您通常食用水果的頻率是：,0,每月一次,3,,0,,,,0,
4,2,產地印象題組,9,,,以下幾題會詢問您對不同水果產地的印象，請以 1 代表印象最差、5 代表印象最好，選出最符合您想法的數字,,,,,,https://upload.cc/i1/2021/07/19/GioABq.png
5,1,您對產地來源為「日本」的水果印象如何？,0,1,1,,0,,,,0,
5,1,您對產地來源為「日本」的水果印象如何？,0,2,2,,0,,,,0,
5,1,您對產地來源為「日本」的水果印象如何？,0,3,3,,0,,,,0,
5,1,您對產地來源為「日本」的水果印象如何？,0,4,4,,0,,,,0,
5,1,您對產地來源為「日本」的水果印象如何？,0,5,5,,0,,,,0,
5,2,您對產地來源為「紐西蘭」的水果印象如何？,0,1,1,,0,,,,0,
5,2,您對產地來源為「紐西蘭」的水果印象如何？,0,2,2,,0,,,,0,
5,2,您對產地來源為「紐西蘭」的水果印象如何？,0,3,3,,0,,,,0,
5,2,您對產地來源為「紐西蘭」的水果印象如何？,0,4,4,,0,,,,0,
5,2,您對產地來源為「紐西蘭」的水果印象如何？,0,5,5,,0,,,,0,
5,3,您對產地來源為「泰國」的水果印象如何？,0,1,1,,0,,,,0,
5,3,您對產地來源為「泰國」的水果印象如何？,0,2,2,,0,,,,0,
5,3,您對產地來源為「泰國」的水果印象如何？,0,3,3,,0,,,,0,
5,3,您對產地來源為「泰國」的水果印象如何？,0,4,4,,0,,,,0,
5,3,您對產地來源為「泰國」的水果印象如何？,0,5,5,,0,,,,0,
